gender,age,category,total_price
1,22,0,300.08
0,51,0,4801.28
0,23,4,20.92
1,40,5,143.36
1,37,0,7502.0
0,24,0,300.08
1,22,4,5.23
0,61,3,650.56
0,25,4,20.92
0,66,7,293.25
0,59,1,600.17
1,38,0,4801.28
1,34,5,143.36
0,26,0,300.08
0,59,7,293.25
0,53,5,35.84
1,23,3,650.56
0,23,0,7502.0
0,66,6,9450.0
0,56,3,650.56
0,38,7,46.92
1,28,0,2700.7200000000003
0,44,4,5.23
0,26,4,83.68
0,41,3,650.56
1,50,0,4801.28
0,23,3,365.94
0,31,3,650.56
1,26,3,1016.5
0,56,4,47.07
0,34,5,573.44
0,29,0,1200.32
0,20,0,300.08
0,54,3,365.94
1,40,0,4801.28
1,40,3,1016.5
1,21,2,242.4
0,32,6,4200.0
1,47,0,2700.7200000000003
0,41,7,105.57
1,33,3,1016.5
0,67,7,46.92
1,37,3,365.94
0,38,5,35.84
1,28,1,15004.25
0,38,2,15.15
0,56,3,40.66
1,25,2,136.35000000000002
1,66,2,378.75
0,37,7,46.92
0,19,4,20.92
0,53,0,7502.0
0,69,1,600.17
1,69,0,7502.0
0,31,4,20.92
1,39,2,378.75
1,53,1,15004.25
1,26,3,162.64
1,63,4,47.07
0,34,0,7502.0
1,25,4,5.23
0,20,1,5401.53
0,18,0,4801.28
1,53,3,650.56
1,46,3,650.56
0,34,0,300.08
0,61,0,2700.7200000000003
0,38,0,7502.0
0,67,4,47.07
1,33,5,573.44
0,63,0,4801.28
0,21,0,7502.0
0,41,3,650.56
0,48,4,5.23
1,27,6,1050.0
0,22,5,896.0
0,54,0,4801.28
0,51,5,35.84
0,29,0,300.08
0,44,1,2400.68
0,20,1,5401.53
0,59,1,2400.68
0,23,0,4801.28
0,25,0,300.08
1,63,1,600.17
1,21,0,7502.0
0,56,0,2700.7200000000003
1,39,3,162.64
1,50,4,20.92
0,54,1,9602.72
1,27,6,9450.0
1,56,0,7502.0
0,53,0,4801.28
0,62,3,365.94
0,42,0,4801.28
0,68,5,143.36
1,27,0,4801.28
1,39,3,650.56
1,44,5,322.56
0,52,0,2700.7200000000003
0,19,3,162.64
0,68,3,365.94
1,22,2,378.75
1,61,1,600.17
1,23,4,47.07
1,34,3,1016.5
0,33,7,46.92
0,60,1,600.17
0,24,4,5.23
1,53,3,1016.5
1,22,0,2700.7200000000003
1,50,7,187.68
1,49,0,1200.32
1,31,0,300.08
1,29,4,130.75
0,52,4,5.23
0,67,3,162.64
0,50,4,20.92
0,58,5,896.0
0,50,0,4801.28
0,68,6,4200.0
0,59,7,46.92
0,66,0,7502.0
1,69,7,187.68
1,27,4,130.75
0,52,5,35.84
0,27,0,1200.32
0,43,6,4200.0
1,36,0,300.08
0,19,7,11.73
1,21,2,378.75
1,20,0,300.08
0,23,5,143.36
0,52,3,162.64
1,24,0,4801.28
0,20,4,130.75
1,58,5,322.56
1,21,0,4801.28
1,35,1,2400.68
0,29,3,365.94
1,68,3,162.64
0,50,3,365.94
0,44,5,322.56
0,47,0,300.08
0,48,7,187.68
0,39,5,35.84
1,27,0,300.08
0,34,1,9602.72
0,65,4,5.23
0,53,3,162.64
0,19,4,47.07
0,19,0,1200.32
0,31,4,5.23
0,43,5,143.36
1,42,0,2700.7200000000003
1,58,2,242.4
0,34,3,365.94
0,32,3,162.64
1,27,7,187.68
0,28,4,20.92
1,55,3,365.94
0,48,7,105.57
0,46,4,83.68
0,20,5,322.56
1,39,5,322.56
1,44,0,7502.0
0,35,3,1016.5
1,48,3,1016.5
0,22,0,300.08
0,52,6,9450.0
1,45,0,7502.0
1,64,0,4801.28
1,38,7,293.25
0,45,1,2400.68
0,41,7,293.25
0,57,3,40.66
1,57,4,83.68
0,60,2,15.15
0,44,4,20.92
1,38,3,1016.5
1,65,4,47.07
1,30,0,300.08
0,50,0,1200.32
0,19,4,47.07
1,26,1,600.17
0,54,3,650.56
0,63,3,365.94
0,66,0,1200.32
0,48,3,162.64
1,46,0,1200.32
1,54,1,9602.72
1,62,2,378.75
0,64,5,322.56
1,55,4,47.07
0,20,0,300.08
1,41,5,896.0
1,54,4,130.75
1,34,0,300.08
0,31,0,300.08
1,48,5,573.44
0,44,0,1200.32
0,42,1,600.17
1,25,1,600.17
1,64,0,7502.0
0,67,6,26250.0
0,55,0,1200.32
0,62,1,5401.53
0,54,0,1200.32
0,43,4,83.68
0,30,0,1200.32
0,58,3,1016.5
1,49,1,15004.25
0,49,0,2700.7200000000003
0,19,0,7502.0
0,58,4,5.23
0,49,4,20.92
0,50,6,1050.0
0,21,3,650.56
1,21,1,2400.68
1,63,3,1016.5
1,30,7,46.92
1,66,1,15004.25
0,23,4,83.68
0,69,0,300.08
0,45,1,9602.72
1,53,0,7502.0
0,50,2,15.15
0,45,0,2700.7200000000003
0,47,4,47.07
0,36,0,300.08
0,61,4,47.07
0,46,5,573.44
1,47,6,26250.0
0,38,0,7502.0
0,41,0,300.08
1,29,0,4801.28
0,58,3,365.94
1,69,6,9450.0
0,53,3,650.56
1,26,4,5.23
1,53,4,5.23
0,63,0,4801.28
0,54,0,300.08
0,54,0,7502.0
1,45,7,46.92
0,62,5,573.44
0,18,0,300.08
0,44,1,15004.25
1,50,0,300.08
1,31,0,7502.0
1,62,0,7502.0
0,20,0,7502.0
0,65,2,378.75
0,63,7,11.73
0,57,4,83.68
0,59,0,300.08
0,44,0,4801.28
0,63,3,1016.5
1,65,0,4801.28
0,68,0,300.08
0,21,4,20.92
0,33,2,378.75
0,23,7,46.92
0,49,7,293.25
1,57,1,2400.68
0,54,5,573.44
0,41,3,365.94
0,21,1,5401.53
0,45,5,35.84
0,58,1,5401.53
1,53,4,83.68
0,53,0,7502.0
1,39,4,130.75
0,21,1,600.17
0,51,5,35.84
1,50,0,1200.32
0,50,3,650.56
1,61,4,47.07
1,44,4,130.75
0,31,7,187.68
1,64,4,5.23
1,50,0,1200.32
1,45,0,300.08
0,29,6,16800.0
0,33,0,300.08
1,29,4,20.92
1,65,6,9450.0
0,66,0,300.08
1,54,3,365.94
1,44,6,16800.0
1,46,5,896.0
1,37,4,130.75
0,22,4,130.75
0,55,3,650.56
1,41,6,4200.0
1,42,5,322.56
1,24,1,5401.53
0,43,3,650.56
1,40,0,2700.7200000000003
0,22,3,650.56
0,27,2,15.15
0,68,3,162.64
0,48,0,1200.32
0,56,0,2700.7200000000003
1,25,0,2700.7200000000003
1,30,4,83.68
0,49,5,896.0
1,57,0,1200.32
0,46,4,83.68
1,29,4,47.07
0,69,3,40.66
0,42,3,162.64
0,38,5,35.84
0,46,0,1200.32
1,31,3,365.94
1,26,0,7502.0
0,48,3,365.94
1,30,2,378.75
1,56,0,300.08
1,65,4,20.92
0,53,0,1200.32
0,43,0,2700.7200000000003
1,26,4,20.92
1,23,0,7502.0
0,54,1,9602.72
1,56,0,4801.28
0,37,5,143.36
1,48,0,2700.7200000000003
1,56,4,20.92
0,58,7,46.92
0,40,4,47.07
0,38,1,15004.25
0,40,3,365.94
1,64,5,35.84
1,28,7,293.25
1,49,3,650.56
1,51,4,47.07
1,22,0,2700.7200000000003
0,67,0,7502.0
0,22,5,143.36
0,26,0,2700.7200000000003
0,42,5,35.84
0,45,2,15.15
0,43,0,300.08
0,35,3,162.64
1,49,0,2700.7200000000003
0,49,4,47.07
1,33,0,7502.0
0,65,4,20.92
1,40,7,187.68
1,68,6,4200.0
0,26,3,650.56
1,38,5,35.84
0,56,3,650.56
1,19,3,40.66
0,18,3,162.64
1,55,4,5.23
0,53,3,162.64
0,69,3,40.66
1,27,3,365.94
0,36,4,20.92
0,61,1,15004.25
0,43,3,1016.5
0,51,4,83.68
1,38,5,573.44
1,34,4,20.92
1,23,4,130.75
1,56,4,83.68
1,60,4,83.68
0,59,7,187.68
1,43,0,300.08
1,55,2,242.4
1,40,0,2700.7200000000003
0,43,4,20.92
1,59,4,83.68
1,24,2,378.75
0,63,0,7502.0
1,31,4,20.92
0,69,0,1200.32
0,36,2,136.35000000000002
0,54,0,2700.7200000000003
1,22,4,47.07
1,39,4,5.23
1,26,3,365.94
1,44,1,2400.68
0,35,5,35.84
0,66,1,600.17
1,61,1,600.17
0,30,3,162.64
1,55,5,896.0
0,22,2,136.35000000000002
0,51,0,300.08
1,53,3,650.56
0,54,0,7502.0
1,34,0,1200.32
0,49,0,300.08
0,41,7,187.68
0,34,0,300.08
0,59,3,365.94
0,20,4,20.92
0,23,0,7502.0
0,25,0,2700.7200000000003
0,63,5,322.56
1,68,6,1050.0
1,58,1,600.17
1,58,1,600.17
1,47,0,300.08
0,22,0,7502.0
0,51,3,40.66
1,56,4,130.75
1,33,0,7502.0
1,27,6,26250.0
1,50,1,9602.72
0,49,6,1050.0
0,52,7,293.25
1,54,0,300.08
1,19,3,365.94
0,49,3,1016.5
0,44,3,650.56
1,69,4,83.68
0,41,0,7502.0
0,25,5,143.36
0,51,1,9602.72
0,53,1,600.17
0,20,0,2700.7200000000003
1,62,0,300.08
0,30,3,365.94
0,47,3,40.66
1,40,1,9602.72
0,35,0,2700.7200000000003
0,41,3,1016.5
0,48,0,1200.32
1,26,4,130.75
0,27,4,5.23
0,26,7,293.25
0,65,4,47.07
0,25,3,162.64
0,19,2,242.4
1,21,6,16800.0
0,61,4,130.75
0,65,5,896.0
0,23,3,650.56
1,42,0,2700.7200000000003
1,33,4,47.07
0,54,0,1200.32
0,67,4,83.68
0,41,4,5.23
0,57,2,378.75
0,35,0,300.08
1,62,0,300.08
1,26,5,35.84
1,48,3,650.56
0,57,0,4801.28
0,53,1,2400.68
1,58,3,650.56
0,32,0,1200.32
0,23,4,130.75
0,49,5,573.44
0,26,0,4801.28
0,62,0,7502.0
1,30,5,35.84
0,28,0,1200.32
0,65,1,2400.68
0,56,5,35.84
0,40,4,47.07
1,55,0,4801.28
0,61,5,143.36
0,35,7,293.25
0,37,1,600.17
1,32,3,40.66
0,68,7,11.73
0,44,0,1200.32
0,61,3,650.56
1,38,0,4801.28
0,66,0,2700.7200000000003
0,53,0,7502.0
0,21,4,83.68
1,61,3,162.64
0,32,4,83.68
0,46,0,300.08
1,25,5,143.36
0,49,3,40.66
0,26,0,2700.7200000000003
0,40,0,1200.32
0,20,0,4801.28
0,38,3,650.56
0,63,3,162.64
1,25,1,2400.68
0,19,0,300.08
0,53,3,650.56
0,51,1,600.17
1,56,7,46.92
1,29,5,573.44
0,20,1,9602.72
0,35,2,15.15
0,62,4,20.92
0,32,0,4801.28
1,48,6,26250.0
1,43,3,365.94
0,57,0,4801.28
1,33,0,1200.32
0,49,4,5.23
0,29,0,4801.28
0,43,4,20.92
0,36,4,130.75
0,59,1,15004.25
0,31,0,7502.0
0,51,4,20.92
1,27,6,16800.0
0,62,3,1016.5
1,44,0,7502.0
0,18,1,9602.72
0,52,4,130.75
1,60,6,9450.0
0,34,4,47.07
1,47,0,300.08
0,58,5,35.84
0,51,0,4801.28
0,32,0,2700.7200000000003
0,23,5,896.0
0,38,5,573.44
1,63,7,46.92
0,50,4,47.07
1,64,3,162.64
1,51,0,1200.32
1,21,4,5.23
0,20,3,365.94
1,34,4,47.07
0,26,3,650.56
0,19,0,2700.7200000000003
0,47,4,47.07
1,47,0,4801.28
0,56,5,143.36
1,42,0,7502.0
1,49,7,293.25
0,51,1,5401.53
0,41,6,16800.0
1,27,4,5.23
0,61,0,7502.0
0,38,1,9602.72
1,42,0,300.08
1,58,4,5.23
0,57,7,105.57
1,23,0,2700.7200000000003
0,62,0,300.08
1,31,1,5401.53
0,54,0,300.08
1,19,0,4801.28
1,68,3,1016.5
1,44,0,7502.0
0,44,0,1200.32
0,29,1,5401.53
0,67,4,83.68
0,28,1,15004.25
0,34,0,7502.0
1,45,5,143.36
0,55,0,1200.32
0,69,4,20.92
1,30,4,83.68
0,38,0,1200.32
1,39,3,40.66
0,63,5,573.44
1,49,3,40.66
0,66,1,9602.72
0,68,4,5.23
1,18,0,7502.0
0,42,1,5401.53
0,54,0,4801.28
1,43,0,7502.0
1,54,0,300.08
1,43,1,9602.72
1,44,0,2700.7200000000003
1,36,6,4200.0
0,41,4,20.92
0,45,0,300.08
0,41,0,1200.32
1,58,3,1016.5
0,34,1,600.17
0,67,4,5.23
1,60,2,378.75
0,31,0,7502.0
0,52,5,322.56
1,25,4,130.75
0,22,0,4801.28
0,34,4,47.07
1,30,0,4801.28
0,25,4,20.92
0,48,0,2700.7200000000003
1,30,0,300.08
0,30,0,2700.7200000000003
0,36,0,7502.0
0,52,1,15004.25
1,33,4,5.23
1,69,3,1016.5
0,46,0,1200.32
0,65,5,573.44
1,27,4,130.75
0,42,4,20.92
0,56,6,26250.0
0,68,3,1016.5
1,64,4,47.07
1,59,4,5.23
0,68,6,9450.0
1,25,3,1016.5
0,40,5,896.0
0,18,5,35.84
1,56,0,4801.28
0,36,1,600.17
0,30,4,5.23
0,52,3,650.56
0,24,6,16800.0
0,30,0,1200.32
0,45,3,1016.5
1,29,5,573.44
1,24,2,15.15
0,46,0,1200.32
0,65,1,9602.72
0,26,5,35.84
0,58,5,322.56
0,45,0,4801.28
1,43,3,365.94
0,25,7,187.68
0,53,0,2700.7200000000003
0,63,0,300.08
0,37,3,40.66
0,68,3,650.56
0,67,2,378.75
0,29,0,7502.0
0,55,0,4801.28
1,30,0,1200.32
0,57,5,896.0
1,33,1,600.17
0,54,0,2700.7200000000003
0,66,1,9602.72
1,56,0,7502.0
1,30,6,16800.0
0,19,0,7502.0
0,22,6,1050.0
1,29,4,130.75
1,44,0,1200.32
0,38,5,35.84
0,32,0,2700.7200000000003
0,58,5,573.44
0,55,3,650.56
0,64,4,20.92
0,45,0,2700.7200000000003
0,65,0,300.08
0,54,0,4801.28
1,58,0,7502.0
0,40,3,162.64
1,24,0,7502.0
0,60,0,7502.0
0,60,4,47.07
1,66,4,20.92
1,59,4,5.23
1,69,7,293.25
0,47,3,650.56
1,39,6,9450.0
0,54,0,300.08
0,67,6,16800.0
1,30,0,1200.32
0,27,5,322.56
0,52,3,650.56
0,57,4,47.07
1,52,0,300.08
1,20,3,650.56
0,52,7,293.25
0,67,4,47.07
0,20,3,650.56
0,64,0,2700.7200000000003
0,20,3,162.64
0,60,5,322.56
0,36,0,300.08
0,29,1,9602.72
0,45,7,11.73
0,18,4,5.23
0,54,2,15.15
1,45,0,2700.7200000000003
0,59,4,5.23
0,49,0,1200.32
1,61,7,105.57
0,28,4,47.07
0,36,2,136.35000000000002
0,69,0,1200.32
0,27,4,47.07
0,30,0,2700.7200000000003
1,67,3,650.56
1,66,1,9602.72
0,52,4,83.68
1,69,4,47.07
0,63,0,300.08
0,20,0,7502.0
0,23,5,573.44
1,47,5,322.56
1,43,0,7502.0
1,55,1,600.17
1,25,5,143.36
0,62,1,9602.72
0,23,3,40.66
0,48,6,26250.0
1,64,7,11.73
0,50,0,1200.32
0,42,3,162.64
1,43,0,2700.7200000000003
0,25,0,2700.7200000000003
1,66,0,2700.7200000000003
0,41,4,5.23
0,37,3,365.94
0,43,0,2700.7200000000003
0,19,0,1200.32
0,64,6,16800.0
0,39,1,15004.25
0,21,3,162.64
1,51,4,47.07
1,67,2,378.75
1,54,1,5401.53
0,21,4,20.92
1,29,6,1050.0
0,32,1,5401.53
0,55,0,4801.28
1,24,7,187.68
1,37,0,2700.7200000000003
0,53,1,15004.25
0,43,4,130.75
0,39,5,322.56
0,37,1,5401.53
0,58,4,5.23
1,28,5,35.84
1,45,6,1050.0
0,21,0,4801.28
0,39,3,1016.5
1,23,0,7502.0
1,41,0,300.08
0,26,4,20.92
1,51,5,573.44
1,49,3,162.64
1,45,0,4801.28
1,33,3,1016.5
0,53,1,9602.72
0,32,3,40.66
1,40,0,300.08
1,60,0,7502.0
0,37,0,300.08
0,56,6,26250.0
0,55,0,1200.32
1,68,2,15.15
0,54,3,162.64
0,56,4,47.07
1,27,5,143.36
0,41,5,35.84
1,59,1,9602.72
1,62,0,300.08
1,32,3,162.64
1,47,3,162.64
0,42,6,26250.0
1,33,4,47.07
1,66,6,26250.0
0,55,3,1016.5
0,24,4,83.68
0,64,5,896.0
0,27,1,15004.25
0,62,3,162.64
0,68,3,162.64
0,62,3,365.94
1,36,7,11.73
1,64,0,2700.7200000000003
1,22,6,16800.0
0,26,4,130.75
0,37,0,7502.0
0,47,3,40.66
0,40,5,35.84
0,58,4,5.23
1,32,2,60.6
0,36,0,300.08
0,56,5,573.44
0,41,0,4801.28
0,34,4,130.75
0,37,0,7502.0
0,55,3,40.66
0,25,1,2400.68
0,50,0,4801.28
1,66,1,5401.53
1,52,0,300.08
0,24,3,40.66
1,52,4,47.07
1,43,0,2700.7200000000003
1,41,3,40.66
0,28,0,7502.0
1,31,4,5.23
0,41,1,5401.53
1,21,3,365.94
0,45,3,365.94
0,41,2,136.35000000000002
1,42,0,2700.7200000000003
1,50,3,40.66
0,42,0,2700.7200000000003
0,25,0,1200.32
0,39,1,15004.25
1,23,5,896.0
1,67,2,60.6
0,42,4,130.75
0,63,0,1200.32
1,53,7,187.68
1,32,4,130.75
1,43,1,2400.68
0,22,0,1200.32
1,30,4,83.68
0,20,0,2700.7200000000003
0,40,3,162.64
1,61,0,4801.28
1,44,0,7502.0
0,55,3,650.56
0,54,4,20.92
1,23,5,322.56
0,61,0,300.08
1,37,0,300.08
0,43,4,20.92
1,33,1,9602.72
1,18,0,7502.0
0,30,5,35.84
0,68,5,896.0
1,34,0,300.08
0,34,2,15.15
0,59,4,20.92
0,22,0,7502.0
0,30,3,1016.5
0,50,5,322.56
0,68,4,47.07
0,49,0,300.08
1,38,5,896.0
1,51,3,365.94
1,44,3,365.94
1,64,0,1200.32
0,31,0,4801.28
0,34,6,1050.0
1,40,0,2700.7200000000003
0,58,1,600.17
1,56,0,4801.28
0,57,4,130.75
0,38,1,600.17
0,55,7,105.57
0,23,4,47.07
1,66,7,46.92
1,27,0,1200.32
0,58,3,40.66
0,32,3,1016.5
1,57,3,40.66
1,43,4,130.75
0,56,0,2700.7200000000003
0,40,0,300.08
0,60,4,83.68
1,41,6,26250.0
1,41,0,1200.32
0,54,0,1200.32
0,42,3,650.56
1,56,0,2700.7200000000003
0,32,6,16800.0
1,59,0,1200.32
0,50,4,130.75
1,23,0,300.08
1,50,3,1016.5
0,55,4,130.75
1,62,3,365.94
0,32,0,7502.0
1,37,4,83.68
0,63,5,322.56
0,18,2,242.4
0,22,1,15004.25
1,51,1,9602.72
0,52,0,4801.28
1,30,0,1200.32
1,32,3,40.66
0,46,1,9602.72
1,31,2,378.75
0,30,4,130.75
1,24,4,83.68
1,25,4,20.92
0,25,0,300.08
0,31,7,105.57
0,54,1,15004.25
0,57,6,9450.0
1,25,0,300.08
0,44,2,242.4
0,43,0,2700.7200000000003
1,18,7,11.73
0,57,5,35.84
0,25,3,40.66
0,50,4,47.07
1,49,0,300.08
1,21,4,20.92
1,38,6,4200.0
1,65,0,7502.0
0,32,0,2700.7200000000003
0,47,4,130.75
0,53,0,300.08
1,34,0,300.08
0,61,3,40.66
0,19,0,7502.0
0,61,3,162.64
1,33,3,365.94
0,53,4,20.92
1,68,5,322.56
1,37,5,896.0
1,69,0,4801.28
0,40,4,47.07
0,67,3,40.66
0,22,2,15.15
0,34,5,573.44
0,34,0,300.08
0,56,0,7502.0
1,26,0,7502.0
0,69,2,378.75
0,67,0,1200.32
1,61,0,4801.28
0,26,4,5.23
1,63,0,4801.28
0,51,5,573.44
1,60,0,4801.28
0,26,2,15.15
1,34,7,46.92
0,25,0,7502.0
1,49,1,15004.25
1,69,7,11.73
1,66,2,15.15
1,23,0,2700.7200000000003
0,18,3,650.56
1,24,3,40.66
0,39,3,40.66
0,50,1,9602.72
1,52,6,1050.0
1,56,3,365.94
0,41,0,300.08
0,21,0,2700.7200000000003
1,42,0,300.08
0,50,0,1200.32
0,53,0,1200.32
0,32,6,16800.0
0,60,0,4801.28
1,34,4,47.07
0,24,1,2400.68
0,44,0,1200.32
0,32,0,2700.7200000000003
0,42,4,5.23
1,23,7,46.92
1,33,6,1050.0
1,64,0,4801.28
0,69,0,7502.0
1,30,2,136.35000000000002
0,66,2,136.35000000000002
0,68,4,5.23
0,48,3,40.66
1,52,0,7502.0
0,39,0,1200.32
0,29,4,47.07
0,48,5,573.44
1,50,0,300.08
1,28,3,365.94
1,64,4,5.23
0,36,3,40.66
1,64,3,1016.5
0,54,0,7502.0
0,31,3,40.66
1,49,0,1200.32
0,51,0,2700.7200000000003
1,37,0,2700.7200000000003
1,52,0,2700.7200000000003
0,64,1,5401.53
0,65,1,5401.53
0,53,1,5401.53
1,30,0,4801.28
1,52,0,4801.28
1,32,5,143.36
1,40,4,47.07
0,53,0,2700.7200000000003
1,39,0,2700.7200000000003
0,56,3,1016.5
0,19,1,2400.68
1,19,3,365.94
0,67,0,7502.0
0,59,6,9450.0
1,63,2,136.35000000000002
1,68,0,300.08
1,23,2,60.6
0,47,0,300.08
0,25,0,1200.32
1,22,0,4801.28
0,60,4,20.92
0,38,0,4801.28
1,59,3,365.94
1,20,0,7502.0
0,62,0,300.08
0,56,3,162.64
0,41,4,47.07
0,39,1,5401.53
0,47,0,300.08
0,55,4,5.23
0,30,0,2700.7200000000003
1,34,0,7502.0
0,53,7,293.25
0,24,1,9602.72
1,61,1,15004.25
0,32,0,7502.0
0,51,3,40.66
1,55,3,1016.5
0,49,7,293.25
0,26,4,130.75
0,56,1,5401.53
1,60,6,16800.0
1,43,4,5.23
0,69,7,46.92
1,49,7,293.25
0,55,5,896.0
1,63,3,162.64
1,36,5,322.56
0,28,0,7502.0
1,45,3,365.94
1,67,0,1200.32
0,46,3,365.94
0,59,0,7502.0
0,65,1,600.17
0,34,2,60.6
0,68,6,16800.0
0,50,1,600.17
1,30,1,2400.68
1,35,0,4801.28
1,54,0,1200.32
1,20,4,5.23
0,58,3,162.64
1,31,5,35.84
0,29,3,162.64
1,47,7,11.73
0,18,1,600.17
0,20,6,4200.0
0,50,0,300.08
1,47,3,650.56
1,48,3,1016.5
1,35,1,5401.53
0,50,6,1050.0
0,41,0,4801.28
0,27,0,300.08
0,64,4,20.92
1,42,6,26250.0
0,22,3,650.56
0,64,0,1200.32
1,59,1,15004.25
0,53,0,2700.7200000000003
1,29,3,40.66
0,30,0,1200.32
0,50,0,7502.0
0,42,0,7502.0
1,23,0,4801.28
0,41,3,40.66
1,29,3,650.56
0,59,0,4801.28
0,34,0,7502.0
0,22,3,40.66
1,34,0,1200.32
0,69,5,322.56
1,61,6,9450.0
0,44,1,5401.53
0,64,6,9450.0
0,40,0,4801.28
1,58,3,1016.5
1,23,5,896.0
1,36,1,5401.53
0,64,7,46.92
0,60,3,365.94
1,39,3,40.66
1,65,4,47.07
1,66,3,1016.5
1,52,7,11.73
1,33,1,15004.25
1,63,4,20.92
0,23,2,242.4
0,27,0,4801.28
0,22,4,83.68
1,23,0,4801.28
1,38,7,105.57
1,57,4,5.23
1,21,3,162.64
0,33,7,187.68
1,34,4,83.68
1,69,5,35.84
1,66,3,162.64
0,46,0,2700.7200000000003
1,36,4,47.07
0,64,4,83.68
1,53,1,5401.53
1,66,3,40.66
0,19,1,600.17
0,55,7,293.25
1,50,4,130.75
1,39,3,650.56
1,64,1,9602.72
1,22,2,242.4
0,49,6,26250.0
0,45,0,1200.32
1,52,5,896.0
1,42,0,300.08
1,55,3,162.64
1,63,5,143.36
0,32,4,130.75
0,49,0,7502.0
0,24,6,26250.0
0,37,0,1200.32
0,41,0,300.08
0,39,5,322.56
1,19,1,9602.72
0,59,0,1200.32
0,68,7,187.68
0,52,5,322.56
0,60,0,4801.28
1,39,0,1200.32
0,26,0,7502.0
0,33,0,1200.32
1,57,0,7502.0
0,52,4,130.75
0,26,4,20.92
1,63,0,300.08
0,33,7,187.68
1,55,4,5.23
0,26,3,650.56
0,67,0,7502.0
1,64,0,2700.7200000000003
1,18,7,46.92
0,57,3,1016.5
0,40,4,47.07
1,46,4,5.23
1,21,0,1200.32
0,48,5,573.44
1,24,0,1200.32
1,69,5,143.36
0,45,4,130.75
0,59,0,300.08
1,43,0,300.08
0,47,0,1200.32
1,33,3,162.64
1,69,1,15004.25
1,57,0,2700.7200000000003
0,46,0,4801.28
1,48,2,15.15
1,30,3,650.56
0,18,0,7502.0
1,49,4,20.92
0,43,0,4801.28
0,34,7,293.25
0,39,2,60.6
1,20,5,322.56
1,68,0,1200.32
0,49,1,2400.68
1,58,3,162.64
0,26,0,1200.32
